	-235.075	-233.08	-231.085	-229.09	-227.095	-225.1	-223.104	-221.109	-219.114	-217.119	-215.124	-213.129	-211.133	-209.138	-207.143	-205.148	-203.153	-201.158	-199.163	-197.167	-195.172	-193.177	-191.182	-189.187	-187.192	-185.196	-183.201	-181.206	-179.211	-177.216	-175.221	-173.225	-171.23	-169.235	-167.24	-165.245	-163.25	-161.254	-159.259	-157.264	-155.269	-153.274	-151.279	-149.283	-147.288	-145.293	-143.298	-141.303	-139.308	-137.312	-135.317	-133.322	-131.327	-129.332	-127.337	-125.341	-123.346	-121.351	-119.356	-117.361	-115.366	-113.37	-111.375	-109.38	-107.385	-105.39	-103.395	-101.4	-99.4044	-97.4092	-95.414	-93.4189	-91.4237	-89.4285	-87.4334	-85.4382	-83.443	-81.4479	-79.4527	-77.4576	-75.4624	-73.4672	-71.4721	-69.4769	-67.4817	-65.4866	-63.4914	-61.4963	-59.5011	-57.5059	-55.5108	-53.5156	-51.5204	-49.5253	-47.5301	-45.5349	-43.5398	-41.5446	-39.5495	-37.5543	-35.5591	-33.564	-31.5688	-29.5736	-27.5785	-25.5833	-23.5882	-21.593	-19.5978	-17.6027	-15.6075	-13.6123	-11.6172	-9.62201	-7.62685	-5.63169	-3.63652	-1.64136	0.353804	2.34897	4.34413	6.33929	8.33446	10.3296	12.3248	14.3199	16.3151	18.3103	20.3054	22.3006	24.2958	26.2909	28.2861	30.2813	32.2764	34.2716	36.2667	38.2619	40.2571	42.2522	44.2474	46.2426	48.2377	50.2329	52.228	54.2232	56.2184	58.2135	60.2087	62.2039	64.199	66.1942	68.1893	70.1845	72.1797	74.1748	76.17	78.1652	80.1603	82.1555	84.1507	86.1458	88.141	90.1361	92.1313	94.1265	96.1216	98.1168	100.112	102.107	104.102	106.097	108.093	110.088	112.083	114.078	116.073	118.068	120.064	122.059	124.054	126.049	128.044	130.039	132.035	134.03	136.025	138.02	140.015	142.01	144.006	146.001	147.996	149.991	151.986	153.981	155.977	157.972	159.967
-318.85	10.4106	7.09733	2.9233	8.19219	13.6138	14.9264	21.3018	23.213	32.1358	40.1242	49.5168	45.9521	45.5254	32.3971	39.8463	72.0922	65.0983	71.8789	73.1668	62.4687	44.8148	27.4298	13.92	6.65123	4.27294	3.79325	2.80919	7.06829	13.9907	9.91611	0.395573	6.43647	11.4701	10.7663	7.26474	36.2943	57.4445	60.1399	53.9828	57.0833	57.3415	47.9195	45.4912	55.8151	64.0672	61.6813	57.4266	53.1002	53.2524	54.1536	45.9755	51.4476	54.7859	54.394	42.9041	33.4564	16.4241	9.30675	3.42392	10.3252	10.7221	31.8872	45.9715	44.9193	72.4719	46.7136	37.6114	24.7621	44.6969	46.6059	54.4328	58.5876	56.6503	57.8107	61.2917	54.3098	28.7747	11.6405	6.0884	15.9635	25.1976	17.8325	12.2261	11.2657	4.97323	0	0	0	0	0	0	0	5.14921	10.4941	13.2113	13.4273	13.1687	11.9522	6.23033	1.82876	0	0.642342	0	0	0	0	0	0.527445	10.0963	30.2745	31.8293	29.3068	13.4221	19.6622	28.0229	43.5903	43.411	36.6877	25.4383	15.8512	10.0241	3.08599	0.947255	0	2.6892	0	0	0.961847	14.9019	9.09345	5.79829	8.31337	7.03182	7.21936	6.45121	11.653	10.5972	10.1819	5.41525	9.48564	13.7053	16.4006	15.7515	25.0237	19.8512	11.7306	7.08354	3.82659	2.81072	11.3975	12.5133	20.1369	20.0288	23.1465	15.502	11.5701	20.4468	30.3524	23.7713	24.2795	30.5759	22.913	19.8213	16.6292	10.9817	2.78487	0.491954	1.63642	2.02448	5.62028	12.1626	14.9961	17.0234	13.0581	12.1624	12.1385	5.2155	7.86092	3.54957	4.62779	3.10432	4.07855	2.90428	0.316884	3.03962	0	1.72448	1.46308	2.04717	0	4.08919	0.415683	3.05413	2.90647	3.00675	5.47831	1.61388	2.0881	1.29644
-316.851	10.996	5.37807	1.8665	3.33457	15.2346	17.6869	13.3534	18.869	27.2865	36.6517	42.9232	47.2467	39.0162	24.2918	36.6018	70.4253	71.6317	67.9554	71.8059	65.5369	53.4886	27.1002	11.0607	8.35443	7.49928	3.30676	3.9069	9.59728	11.3919	0	1.48765	6.67578	9.63091	2.0289	4.26759	19.2886	33.4632	44.083	49.487	55.2361	56.969	48.4992	49.219	56.9254	57.3583	63.2785	57.4703	53.793	59.0085	47.5459	50.5801	51.6191	54.7748	49.8506	34.0012	24.6474	15.3037	2.26836	1.74525	6.42169	18.6202	35.2975	39.662	34.9277	64.8242	66.8646	53.0076	50.95	48.4929	40.2911	50.7454	71.6364	60.4375	60.3635	58.4692	60.6062	43.684	20.0937	12.5459	17.5698	16.1929	15.5051	10.0812	5.86288	4.76789	0	0	2.23657	0	0	0	3.68802	14.4089	24.0768	25.0017	25.1966	23.2446	19.7882	13.0985	6.16644	1.62209	0	0	0	0.723977	0.340665	0	28.6073	34.8621	32.2733	27.0606	9.84389	13.3486	22.5868	36.8505	36.8769	31.5311	27.7303	24.9745	21.7743	14.9279	11.3016	4.97899	2.1838	1.6375	0	0	0.129552	0	15.1914	6.79968	4.20817	3.53302	7.30349	27.581	12.7951	6.38426	9.12219	8.24628	11.1631	14.0813	12.4174	16.8953	18.8069	22.9267	9.76914	3.36819	0.28029	2.55828	9.0132	15.1992	21.0319	25.3127	20.8522	18.7531	24.8043	34.0088	27.4181	29.8092	20.9642	29.6475	22.5519	15.5183	21.5777	1.89177	0.22371	1.94588	4.58186	3.06084	8.09616	14.6302	12.5194	10.3787	6.90096	8.65898	11.5414	13.7789	7.23758	2.30103	0	0.860265	0.122145	0.264761	1.84834	1.34033	0	0	2.84374	0	1.21992	1.97635	0	0.030979	0.619057	0.282114	0	0.803598	1.55381	0
-314.852	5.38559	3.41014	0.831649	12.6708	24.8861	23.3548	13.652	13.9077	26.2326	36.1156	44.0079	45.637	44.7217	20.0516	47.2259	57.9966	63.8655	59.9246	61.9903	62.9313	50.7093	28.9676	13.8211	9.61996	6.67676	8.39732	4.95465	7.09105	0.21709	0	0.183519	8.31321	4.68088	2.11539	1.37018	4.46821	20.719	31.669	40.3279	48.9593	49.4398	53.5421	49.4532	58.3449	58.4368	61.115	56.4771	55.1105	56.2382	43.7079	44.8036	47.4889	47.7864	46.8381	32.1603	23.4616	4.06094	0	3.49955	10.8511	17.4087	26.128	17.8601	22.8059	75.0788	62.2495	58.0875	52.1592	45.4669	46.0739	45.2384	71.1125	54.8439	64.0923	70.7467	62.4357	47.1499	29.9738	12.9301	14.9158	15.0969	12.7807	10.7637	5.6814	2.85923	0.57758	0	0	0	0	0	2.89973	16.0368	24.9712	26.7743	28.8745	26.0971	22.3695	13.9856	7.98886	0.105101	0	0	0	0.335982	0.808131	16.7052	37.2003	36.0171	29.124	12.6815	7.80121	13.7107	33.4079	37.8335	33.7893	35.8915	40.8673	41.9345	31.9142	28.8521	19.6972	12.47	4.67026	2.86776	2.39685	0	0.936459	0	5.43822	21.8383	5.25918	5.00848	8.06788	31.7268	41.2473	16.2721	13.2133	11.2571	12.7491	15.3939	17.8661	19.05	18.2327	27.829	14.9958	5.47293	3.42194	2.46386	2.77141	15.8495	20.3692	24.2296	19.259	23.4997	33.8744	29.409	33.4075	21.6962	23.1962	23.3868	16.7588	10.8963	4.48671	0	1.21972	1.21803	0	4.08217	11.041	11.3672	9.46757	5.31203	5.34243	8.82428	11.2449	17.1064	17.006	3.38042	0	1.03971	0	0.623132	0	0.522244	0.295798	0.6738	0	1.36215	0	1.75237	1.17366	0	0	0.993969	0	2.95948	0	0.533272
-312.852	2.90991	2.93483	3.88978	27.0541	39.9149	29.1353	18.1242	14.866	21.8721	40.2808	41.4715	51.4498	44.1675	23.0689	61.8581	69.0927	57.2291	58.1451	65.0646	62.531	49.1181	27.5735	16.2509	12.9234	8.79251	10.7238	8.97811	5.33051	0.329962	0	0	0	2.73713	0.574365	2.30384	1.3632	4.83224	19.635	27.5696	35.9837	43.0318	47.1125	48.6867	52.4984	58.937	58.6167	47.0881	43.4498	42.4633	38.7813	39.5125	37.0143	42.8307	35.8926	29.9051	15.8955	7.60387	0	2.1735	8.34992	13.2397	13.6121	10.9302	17.6312	63.1939	78.0325	66.7821	59.5601	60.2944	38.7196	38.068	58.8834	51.5655	55.8966	73.3322	75.6131	61.5562	38.3816	19.1177	14.6907	16.398	8.1006	9.32605	2.12539	0	0	0	0	0	0	0.951856	0.0739653	9.41427	16.7956	19.7631	20.6341	15.5076	11.8888	5.71392	1.96225	0	0	0	0	6.04364	27.4995	34.8804	35.5498	25.1927	11.2335	9.41655	7.9341	33.1938	36.5966	32.3865	22.2682	21.2199	35.2056	41.4634	44.8351	39.9445	29.6711	28.7541	10.1292	5.90925	0	3.26486	1.60879	0	0.381317	1.66705	15.899	20.8669	10.7522	16.4469	43.5981	32.6532	12.1784	8.51471	9.36382	17.6415	19.1608	16.0966	17.6095	28.86	16.9821	5.79052	5.81395	4.10661	4.34078	14.6845	20.9973	27.1368	20.6374	25.5348	35.6251	32.7295	32.3833	29.3954	18.4114	28.3614	14.3334	9.57043	1.31667	0.0840646	0	0	0.833364	3.30712	14.2493	13.6314	10.861	6.87832	6.06315	8.81912	6.05339	8.54023	12.124	0.135781	0	0	0	0.592944	0.429363	1.05701	0.571964	1.32341	0	0	0.0655808	0.721358	2.23451	0	1.2638	0.417921	0.992846	0	0.74655	0
-310.853	1.6565	5.03444	15.6771	41.5661	45.6056	32.7352	20.4926	13.6875	20.6207	35.0298	40.6492	43.0901	36.6715	36.4208	52.5906	60.2167	55.109	60.5846	64.8014	55.5821	46.121	27.5132	25.1026	11.9926	14.8288	13.7049	13.643	4.10634	0	1.82826	0	1.28132	2.16911	1.04045	1.05115	1.62961	0	1.59342	10.7826	22.211	28.7878	34.1031	39.2643	47.2424	57.7976	52.0765	35.1465	29.5351	28.4203	25.6134	25.413	28.2081	30.8819	25.9235	31.3233	19.7463	0	0	0	7.74977	7.02779	6.85314	8.72876	13.9209	57.2378	67.1139	69.5777	53.9024	44.2346	25.8116	41.6211	57.0307	55.6092	56.5933	65.4515	60.8572	48.6341	33.2977	17.1378	15.6358	16.907	9.87889	6.12748	3.4162	7.79981	0	1.35857	1.01481	0	0	6.04626	9.229	4.5282	5.41878	8.9877	8.67374	7.8702	3.8511	0	0	0	0	5.45461	9.4191	31.9876	40.1434	32.6349	24.9457	9.20097	9.75098	17.1804	20.9918	6.84674	16.1083	3.76384	2.10817	0.470824	24.8036	35.4814	36.3595	44.3174	43.1344	35.6231	24.6694	10.1439	6.13503	0.569862	1.442	0	0	0.313058	0.474268	12.0607	25.7744	37.7373	33.8609	28.8089	23.9515	13.9353	13.8784	8.8113	19.4973	20.792	29.7704	32.315	35.176	19.2915	13.0953	16.7657	4.92472	4.06525	21.8936	29.4345	30.9833	25.3468	35.7393	30.6901	32.0716	17.3229	29.8249	37.521	28.3375	5.77141	0.122692	0	0	0.0187235	1.60124	7.72229	19.4135	18.1635	17.1539	11.4674	5.75602	9.89086	9.38587	8.51606	5.54537	2.87508	1.20966	0	0	0	0.538886	0.427942	1.46378	0	0	1.06991	0.837261	1.31387	0	0	0	1.16755	0.560944	0	1.38684	0
-308.853	6.49614	9.19676	13.0313	22.399	40.7228	30.8825	15.7459	14.2546	17.8865	27.7838	33.478	38.1508	36.7271	35.2671	55.8403	55.7523	54.7533	53.3227	57.1946	51.859	35.2729	20.9578	19.0379	15.7508	12.2711	14.4299	13.5734	8.46192	0	3.62838	4.28683	1.16679	3.02921	3.41031	3.06822	1.04349	0	0	0	9.34484	12.9537	19.2113	24.6232	25.9999	33.0503	25.8095	18.0205	21.8324	17.5796	13.1262	12.7482	11.19	13.2828	12.9899	15.0011	11.5325	3.12665	5.45868	2.50108	6.05779	5.99948	4.42547	9.03377	12.8231	74.584	62.7921	60.4523	35.9782	23.5858	18.4768	32.7554	51.6077	58.2002	59.703	58.8429	57.0001	41.3556	18.3292	9.05107	11.9044	13.291	10.0727	2.11202	13.7773	10.0555	0	0	0	0	1.77631	21.6899	24.3476	28.385	21.5777	11.2345	15.6408	13.541	0	0.366005	1.53743	7.5696	12.5653	23.8387	37.3517	42.1712	28.8254	13.9171	10.5018	10.4113	23.1608	21.5807	6.04158	0.591125	0.806088	0.675909	0	0.737305	5.92429	13.8555	20.8208	20.6634	34.1303	37.6918	40.7687	29.4417	5.34798	3.36545	3.79888	3.16885	3.16336	0.655865	0.746477	0.180875	5.30949	31.1606	27.4782	42.2469	29.1491	10.8785	9.60285	3.23487	17.9049	21.468	26.024	32.1044	48.1538	44.3265	23.5044	14.8471	19.1491	10.1279	23.2158	32.8262	36.4427	29.4754	39.8694	26.4525	18.8652	11.2375	22.7814	15.4601	21.7365	9.14402	0	0.989914	0	2.28397	4.04011	16.9051	23.1315	20.3173	29.2822	20.6196	11.656	16.8767	11.6228	10.7227	7.37941	2.82227	1.63545	0.511917	1.61308	0.237065	0.851661	0	0	0.121713	0	0	0	0	1.70067	1.45856	0.0263941	2.21277	1.09605	1.58873	1.83332	0.0968112
-306.854	7.19794	4.79616	6.22303	17.9879	36.3286	29.9298	18.7077	14.1989	16.5504	22.1329	25.8256	29.8995	32.3815	39.2868	42.4565	48.4052	44.4539	37.9534	45.069	32.1155	25.6266	16.4737	17.0559	13.1612	10.4535	13.9445	7.72121	0	0	7.5394	3.28056	3.64345	3.25537	2.74721	9.2495	1.11812	1.94838	1.52632	0.25584	3.29271	6.03449	11.4208	11.3706	10.4327	14.9632	10.5643	8.81991	11.8125	14.834	10.2218	9.51356	9.83394	5.58738	8.26391	21.5241	12.9362	6.07696	5.20845	0.36407	0.655642	6.53301	4.08335	3.33106	12.3143	69.2575	64.8208	50.0652	31.6566	20.0414	20.0026	26.8665	59.0201	57.154	60.3912	56.5196	53.4922	25.7934	10.7066	8.79328	9.37981	9.54197	5.17608	8.80922	23.4182	11.6275	0	0	0.164443	0.821419	3.85809	29.5639	20.5042	27.6823	34.6157	29.8912	46.161	35.1339	55.6605	42.0062	19.9104	24.4821	32.1841	45.6977	41.1472	19.1206	5.96366	17.9282	23.1598	31.0864	28.752	7.14324	1.15923	0.984073	0	0	0.868352	0.247917	3.14171	3.47835	0.206066	3.47442	9.52698	19.1414	19.0259	25.7036	17.0957	15.7391	6.17389	10.6715	5.01049	1.76255	1.12583	2.76863	1.45751	19.3415	22.944	39.2584	26.2925	25.7483	17.3212	7.32604	7.7601	14.3969	11.6188	27.09	27.9783	32.1609	31.8273	17.2073	12.7593	8.76525	12.0441	33.2585	37.2134	30.5947	44.3012	32.3744	20.4374	18.4442	18.7316	16.0254	16.4482	7.10514	1.17227	0	3.29443	4.55451	9.84569	19.7115	16.983	21.5246	32.6156	34.8175	21.0838	15.4723	13.1266	11.041	9.56056	1.47699	0	0.548097	0.392262	1.38198	0	1.85054	2.0388	1.84743	0	1.29164	1.96123	0	0.693243	2.53512	2.25935	0.593542	0.602422	1.82657	1.66363	1.12328
-304.854	4.895	5.65708	7.91833	13.017	21.3598	23.6241	16.1447	14.4988	12.1006	17.6833	22.5645	28.4432	33.0121	38.8484	39.8263	39.2993	31.4951	26.2637	29.1714	24.6185	17.8646	13.8863	16.3546	14.6287	14.3653	11.4605	3.86023	0.856162	0	7.75176	5.47347	4.70614	1.79732	4.19492	2.70613	3.3667	1.12951	0.730227	0	0.554894	5.99962	7.1579	6.32105	6.31411	5.1118	4.81701	5.1687	11.3768	14.1323	17.6512	9.68629	5.26476	4.43056	7.59251	21.5216	17.3325	6.99132	4.60297	1.55463	7.10094	5.11781	4.40254	4.88914	15.5729	53.1224	65.4959	45.1889	37.5131	21.6734	30.6518	39.5913	57.2923	59.9379	57.6723	50.6908	28.8095	11.7784	7.33895	4.38161	7.21948	8.81945	3.53379	19.1299	23.0082	12.7626	0	2.70805	6.08501	0	11.6935	25.1303	13.7411	10.7896	20.5488	42.782	38.8709	33.6893	42.1026	38.7204	40.6695	36.4731	22.3729	31.0584	26.9501	3.31819	19.6222	24.5727	33.8099	35.9096	11.2684	2.2896	0	0.910005	1.53212	0	0.494375	1.04959	0	0	1.12042	1.90829	0.597712	7.3518	0.764986	1.41128	12.0402	44.6607	20.1635	4.07827	7.23176	4.14213	5.61206	8.90442	3.55728	5.01917	28.2713	36.2628	34.5814	33.424	10.4732	9.26993	6.82533	17.1982	9.05897	24.7218	42.0899	35.4083	25.8024	13.1876	13.8122	17.2517	14.5287	21.0693	25.9995	39.9814	43.5091	34.1231	16.4805	14.9387	16.0646	9.18875	13.2993	7.2068	2.58766	3.43771	4.5896	11.019	17.4516	20.2056	12.301	12.723	21.3532	35.5069	34.8736	15.7736	11.9614	9.88945	7.58689	2.1067	0.395475	0	0	0	0.272938	0	0.267198	0	0.886455	1.74123	1.17147	0	0	2.42506	0	0.364307	0	0	0	1.56776
-302.855	3.20814	4.10437	4.16773	11.6739	13.1948	15.3756	12.6322	14.057	8.46403	16.849	14.5071	25.3815	22.4663	27.0389	28.0294	25.2905	20.9495	18.1659	16.1195	14.7931	12.3692	14.83	18.0669	18.3615	13.7723	10.8953	5.32378	0	0	10.7777	4.82227	1.41839	8.31657	5.23047	3.62486	1.06529	1.03483	3.1733	1.23461	0.110537	2.70155	4.08749	5.59082	6.29314	3.71223	2.95548	3.75515	5.89426	9.45525	10.8705	3.16316	0.849543	3.96353	2.29602	26.1682	11.2074	14.3271	7.90292	0.040721	0.364172	2.3599	2.58081	9.96213	17.524	66.5944	60.9926	43.7156	44.7012	27.7379	33.2905	47.7697	57.2705	57.82	54.136	29.7858	11.1271	3.93478	2.79048	1.27225	5.13121	0.862893	10.7105	25.3089	27.7778	10.2466	6.20696	8.29382	0	5.43224	30.6963	20.5158	0	4.39686	3.28578	13.9498	28.7998	30.4919	26.3198	30.8558	23.5981	18.2966	13.468	8.53637	2.72879	11.3903	18.1139	26.4017	36.0514	27.6175	6.77166	0	0	1.24614	0.553205	0.4391	1.25692	0	3.29124	0.640826	0	0.178213	0.0974263	2.00134	0.681384	1.36349	0	12.0719	39.0969	16.4755	4.58612	7.49036	6.97572	8.77233	2.43211	1.99325	16.1696	24.5512	26.9371	41.2622	15.9638	20.2223	13.2455	21.5121	15.5048	40.6323	42.3365	36.0609	23.606	13.312	11.452	14.861	11.3201	27.5314	36.1575	34.8752	34.9917	39.1945	23.3836	24.1833	23.0534	16.8437	15.6863	10.4338	6.2113	4.05989	2.33677	12.85	18.3607	21.2681	11.0829	6.45538	14.8062	35.2257	37.7077	17.9206	15.7079	13.2898	10.3783	6.71877	0	1.19972	0	1.23175	0.550281	2.50675	4.02443	0	1.22083	0	0.955335	0.272056	2.07171	0	0.960238	0.0325742	0	2.80416	1.84328	0
